ID,date,from,day_recorded,month_recorded,dnoregion,regionid,intensity_forecast,intensity_index,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind
0,2023-12-31,23:30,Sunday,December,Scottish Hydro Electric Power Distribution,1,4,very low,0.6,0.0,0.0,0.8,6.8,0,44.4,0.0,47.4
1,2023-12-31,23:30,Sunday,December,SP Distribution,2,24,very low,3.7,0.0,0.1,4.8,58.6,0,0.0,0.0,32.7
2,2023-12-31,23:30,Sunday,December,Electricity North West,3,4,very low,0.9,0.0,0.0,0.8,41.3,0,0.0,0.0,57.1
3,2023-12-31,23:30,Sunday,December,NPG North East,4,17,very low,9.4,0.0,2.3,1.4,73.8,0,0.0,0.0,13.1
4,2023-12-31,23:30,Sunday,December,NPG Yorkshire,5,83,low,25.0,0.0,0.0,13.4,0.0,0,0.0,0.0,61.6
5,2023-12-31,23:30,Sunday,December,SP Manweb,6,30,very low,0.3,0.0,0.0,7.4,11.7,0,1.3,0.0,79.2
6,2023-12-31,23:30,Sunday,December,WPD South Wales,7,86,low,0.1,0.0,0.0,21.7,0.9,0,0.0,0.0,77.3
7,2023-12-31,23:30,Sunday,December,WPD West Midlands,8,52,low,2.5,1.9,1.1,7.7,20.8,0,0.4,0.0,65.8
8,2023-12-31,23:30,Sunday,December,WPD East Midlands,9,128,moderate,6.3,6.0,3.0,15.8,4.8,0,0.0,0.0,64.2
9,2023-12-31,23:30,Sunday,December,UKPN East,10,19,very low,0.0,0.0,12.5,2.6,20.5,0,0.0,0.0,64.4
10,2023-12-31,23:30,Sunday,December,WPD South West,11,281,very high,0.1,0.2,1.4,70.9,0.4,0,0.1,0.0,27.0
11,2023-12-31,23:30,Sunday,December,SSE South,12,118,moderate,2.0,2.0,23.5,22.8,3.6,0,0.7,0.0,45.3
12,2023-12-31,23:30,Sunday,December,UKPN London,13,43,low,0.0,0.0,26.4,8.5,11.2,0,0.6,0.0,53.2
13,2023-12-31,23:30,Sunday,December,UKPN South East,14,75,low,0.0,0.0,44.2,16.1,0.3,0,1.4,0.0,37.9
14,2023-12-31,23:30,Sunday,December,England,15,69,low,4.7,1.1,10.1,12.2,19.1,0,0.2,0.0,52.6
15,2023-12-31,23:30,Sunday,December,Scotland,16,25,very low,1.8,0.1,0.7,5.7,29.4,0,16.8,0.0,45.6
16,2023-12-31,23:30,Sunday,December,Wales,17,59,low,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,85.0
17,2023-12-31,23:30,Sunday,December,GB,18,63,low,4.0,0.9,8.2,11.6,19.0,0,2.2,0.0,53.9
18,2024-01-01,00:00,Monday,January,Scottish Hydro Electric Power Distribution,1,3,very low,0.4,0.0,0.0,0.6,4.5,0,44.6,0.0,50.0
19,2024-01-01,00:00,Monday,January,SP Distribution,2,23,very low,3.4,0.0,0.0,4.8,54.6,0,0.0,0.0,37.2
20,2024-01-01,00:00,Monday,January,Electricity North West,3,3,very low,0.6,0.0,0.0,0.6,40.9,0,0.0,0.1,57.9
21,2024-01-01,00:00,Monday,January,NPG North East,4,16,very low,9.2,0.0,0.7,1.2,76.6,0,0.0,0.0,12.3
22,2024-01-01,00:00,Monday,January,NPG Yorkshire,5,83,low,24.8,0.0,0.0,13.4,0.0,0,0.0,0.0,61.8
23,2024-01-01,00:00,Monday,January,SP Manweb,6,30,very low,0.3,0.0,0.0,7.5,12.4,0,0.6,0.0,79.2
24,2024-01-01,00:00,Monday,January,WPD South Wales,7,94,low,0.1,0.1,0.0,23.6,1.6,0,0.0,0.5,73.9
25,2024-01-01,00:00,Monday,January,WPD West Midlands,8,51,low,2.3,1.8,0.8,7.7,20.9,0,0.2,0.4,65.8
26,2024-01-01,00:00,Monday,January,WPD East Midlands,9,133,moderate,6.6,5.9,2.6,17.2,4.7,0,0.0,0.1,63.0
27,2024-01-01,00:00,Monday,January,UKPN East,10,19,very low,0.0,0.0,12.2,2.7,20.0,0,0.0,0.2,64.8
28,2024-01-01,00:00,Monday,January,WPD South West,11,277,very high,0.2,0.2,1.7,69.5,0.4,0,0.1,2.7,25.2
29,2024-01-01,00:00,Monday,January,SSE South,12,119,moderate,2.2,1.8,22.3,23.7,3.3,0,0.6,0.6,45.5
30,2024-01-01,00:00,Monday,January,UKPN London,13,43,low,0.0,0.0,26.5,8.4,10.6,0,0.5,0.1,53.9
31,2024-01-01,00:00,Monday,January,UKPN South East,14,73,low,0.0,0.0,44.5,15.5,0.2,0,1.2,0.0,38.6
32,2024-01-01,00:00,Monday,January,England,15,69,low,4.5,1.1,9.3,12.6,17.9,0,0.4,0.0,54.1
33,2024-01-01,00:00,Monday,January,Scotland,16,20,very low,2.0,0.0,0.0,4.5,33.3,0,14.1,0.1,46.0
34,2024-01-01,00:00,Monday,January,Wales,17,75,low,0.0,0.0,0.0,19.0,0.0,0,2.9,0.0,78.1
35,2024-01-01,00:00,Monday,January,GB,18,64,low,4.0,0.9,7.7,12.0,18.6,0,2.1,0.0,54.6
36,2024-01-01,00:30,Monday,January,Scottish Hydro Electric Power Distribution,1,1,very low,0.2,0.0,0.0,0.3,3.6,0,44.0,0.0,51.9
37,2024-01-01,00:30,Monday,January,SP Distribution,2,22,very low,3.2,0.0,0.0,4.5,49.7,0,0.0,0.0,42.7
38,2024-01-01,00:30,Monday,January,Electricity North West,3,3,very low,0.6,0.0,0.0,0.6,39.9,0,0.0,0.0,58.9
39,2024-01-01,00:30,Monday,January,NPG North East,4,17,very low,9.6,0.0,0.0,1.5,74.6,0,0.0,0.0,14.4
40,2024-01-01,00:30,Monday,January,NPG Yorkshire,5,81,low,24.1,0.0,0.0,13.3,0.6,0,0.0,0.0,62.0
41,2024-01-01,00:30,Monday,January,SP Manweb,6,30,very low,0.4,0.0,0.0,7.6,12.4,0,0.5,0.0,79.3
42,2024-01-01,00:30,Monday,January,WPD South Wales,7,96,low,0.2,0.1,0.1,24.0,1.3,0,0.0,0.0,74.3
43,2024-01-01,00:30,Monday,January,WPD West Midlands,8,50,low,2.3,1.7,1.4,7.8,20.2,0,0.1,0.0,66.5
44,2024-01-01,00:30,Monday,January,WPD East Midlands,9,126,moderate,6.2,5.6,3.1,16.3,3.9,0,0.0,0.0,64.9
45,2024-01-01,00:30,Monday,January,UKPN East,10,22,very low,0.0,0.0,12.4,3.4,19.4,0,0.0,0.0,64.8
46,2024-01-01,00:30,Monday,January,WPD South West,11,270,very high,0.3,0.2,4.3,67.6,0.5,0,0.1,0.0,27.1
47,2024-01-01,00:30,Monday,January,SSE South,12,113,moderate,1.7,1.8,27.3,22.2,4.4,0,0.5,0.0,42.0
48,2024-01-01,00:30,Monday,January,UKPN London,13,41,low,0.0,0.0,29.8,7.9,11.9,0,0.5,0.0,49.9
49,2024-01-01,00:30,Monday,January,UKPN South East,14,63,low,0.0,0.0,50.2,13.1,1.0,0,1.1,0.0,34.6
50,2024-01-01,00:30,Monday,January,England,15,67,low,4.4,1.1,10.6,12.2,17.6,0,0.5,0.0,53.6
51,2024-01-01,00:30,Monday,January,Scotland,16,18,very low,1.9,0.0,0.0,4.0,31.1,0,13.4,0.0,49.6
52,2024-01-01,00:30,Monday,January,Wales,17,74,low,0.0,0.0,0.0,18.8,0.0,0,2.7,0.0,78.5
53,2024-01-01,00:30,Monday,January,GB,18,62,low,3.8,0.9,8.8,11.7,18.1,0,2.1,0.0,54.7
54,2024-01-01,01:00,Monday,January,Scottish Hydro Electric Power Distribution,1,1,very low,0.2,0.0,0.0,0.2,1.5,0,49.2,0.0,48.9
55,2024-01-01,01:00,Monday,January,SP Distribution,2,19,very low,2.7,0.0,0.0,4.1,46.4,0,0.0,0.0,46.7
56,2024-01-01,01:00,Monday,January,Electricity North West,3,3,very low,0.6,0.0,0.0,0.5,39.6,0,0.0,0.0,59.2
57,2024-01-01,01:00,Monday,January,NPG North East,4,14,very low,8.2,0.0,0.0,1.1,76.0,0,0.0,0.1,14.6
58,2024-01-01,01:00,Monday,January,NPG Yorkshire,5,79,low,24.1,0.0,0.0,12.6,2.2,0,0.0,0.0,61.0
59,2024-01-01,01:00,Monday,January,SP Manweb,6,29,very low,0.3,0.0,0.0,7.2,13.4,0,0.2,0.0,78.9
60,2024-01-01,01:00,Monday,January,WPD South Wales,7,95,low,0.3,0.1,0.1,23.7,0.9,0,0.0,0.0,74.9
61,2024-01-01,01:00,Monday,January,WPD West Midlands,8,46,low,2.4,1.5,0.8,7.4,21.1,0,0.1,0.1,66.7
62,2024-01-01,01:00,Monday,January,WPD East Midlands,9,129,moderate,6.9,5.6,2.8,16.8,3.3,0,0.0,0.0,64.6
63,2024-01-01,01:00,Monday,January,UKPN East,10,22,very low,0.0,0.0,12.3,3.5,19.2,0,0.0,0.0,65.0
64,2024-01-01,01:00,Monday,January,WPD South West,11,263,high,0.4,0.3,5.0,65.7,0.7,0,0.1,0.0,27.8
65,2024-01-01,01:00,Monday,January,SSE South,12,118,moderate,2.0,2.1,25.2,22.8,6.4,0,0.4,0.0,41.1
66,2024-01-01,01:00,Monday,January,UKPN London,13,42,low,0.0,0.0,28.7,8.2,13.4,0,0.4,0.0,49.2
67,2024-01-01,01:00,Monday,January,UKPN South East,14,66,low,0.0,0.0,48.7,14.0,2.7,0,1.1,0.0,33.6
68,2024-01-01,01:00,Monday,January,England,15,66,low,4.4,1.1,10.2,12.1,17.9,0,0.7,0.0,53.7
69,2024-01-01,01:00,Monday,January,Scotland,16,16,very low,1.7,0.0,0.0,3.6,29.4,0,14.9,0.0,50.4
70,2024-01-01,01:00,Monday,January,Wales,17,78,low,0.0,0.0,0.0,19.8,0.2,0,3.3,0.1,76.7
71,2024-01-01,01:00,Monday,January,GB,18,62,low,3.8,0.9,8.4,11.6,18.1,0,2.4,0.0,54.7
72,2024-01-01,01:30,Monday,January,Scottish Hydro Electric Power Distribution,1,0,very low,0.1,0.0,0.0,0.1,1.3,0,51.4,0.0,47.1
73,2024-01-01,01:30,Monday,January,SP Distribution,2,20,very low,2.6,0.0,0.0,4.3,45.6,0,0.0,0.0,47.6
74,2024-01-01,01:30,Monday,January,Electricity North West,3,2,very low,0.3,0.0,0.0,0.5,41.8,0,0.0,0.0,57.5
75,2024-01-01,01:30,Monday,January,NPG North East,4,11,very low,6.9,0.0,0.0,0.6,78.5,0,0.0,0.0,14.0
76,2024-01-01,01:30,Monday,January,NPG Yorkshire,5,83,low,23.9,0.0,0.0,13.8,2.7,0,0.0,0.0,59.5
77,2024-01-01,01:30,Monday,January,SP Manweb,6,32,very low,0.3,0.0,0.0,8.0,13.8,0,0.3,0.0,77.5
78,2024-01-01,01:30,Monday,January,WPD South Wales,7,114,moderate,0.0,0.1,0.0,28.6,0.7,0,0.0,0.0,70.5
79,2024-01-01,01:30,Monday,January,WPD West Midlands,8,46,low,2.4,1.4,0.2,7.7,22.6,0,0.1,0.0,65.6
80,2024-01-01,01:30,Monday,January,WPD East Midlands,9,145,moderate,9.2,5.8,1.0,20.0,3.3,0,0.0,0.0,60.6
81,2024-01-01,01:30,Monday,January,UKPN East,10,24,very low,0.0,0.0,12.2,4.0,19.5,0,0.0,0.0,64.3
82,2024-01-01,01:30,Monday,January,WPD South West,11,294,very high,0.4,0.3,0.8,73.7,0.7,0,0.1,0.0,24.1
83,2024-01-01,01:30,Monday,January,SSE South,12,134,moderate,3.8,2.2,7.9,26.9,6.6,0,0.4,0.0,52.2
84,2024-01-01,01:30,Monday,January,UKPN London,13,46,low,0.0,0.0,16.1,9.6,13.5,0,0.5,0.0,60.4
85,2024-01-01,01:30,Monday,January,UKPN South East,14,86,low,0.0,0.0,23.3,19.8,3.1,0,1.2,0.0,52.5
86,2024-01-01,01:30,Monday,January,England,15,75,low,4.7,1.1,2.8,14.7,18.7,0,0.9,0.0,57.1
87,2024-01-01,01:30,Monday,January,Scotland,16,15,very low,1.5,0.0,0.0,3.3,29.4,0,16.2,0.0,49.6
88,2024-01-01,01:30,Monday,January,Wales,17,85,low,0.0,0.0,0.0,21.6,0.5,0,3.8,0.0,74.0
89,2024-01-01,01:30,Monday,January,GB,18,69,low,4.1,0.9,2.3,13.8,18.8,0,2.8,0.0,57.3
90,2024-01-01,02:00,Monday,January,Scottish Hydro Electric Power Distribution,1,1,very low,0.1,0.0,0.0,0.1,1.6,0,53.2,0.0,45.0
91,2024-01-01,02:00,Monday,January,SP Distribution,2,18,very low,2.3,0.0,0.0,3.7,44.7,0,0.0,0.3,48.9
92,2024-01-01,02:00,Monday,January,Electricity North West,3,3,very low,0.3,0.0,0.0,0.6,42.3,0,0.0,0.0,56.8
93,2024-01-01,02:00,Monday,January,NPG North East,4,10,very low,6.2,0.0,0.0,0.6,78.3,0,0.0,0.1,14.8
94,2024-01-01,02:00,Monday,January,NPG Yorkshire,5,77,low,23.5,0.0,0.0,12.3,4.5,0,0.0,0.1,59.7
95,2024-01-01,02:00,Monday,January,SP Manweb,6,28,very low,0.3,0.0,0.0,7.1,14.4,0,1.7,0.3,76.2
96,2024-01-01,02:00,Monday,January,WPD South Wales,7,120,moderate,0.1,0.0,0.0,30.2,0.6,0,0.0,0.4,68.6
97,2024-01-01,02:00,Monday,January,WPD West Midlands,8,40,low,2.2,1.2,0.2,6.5,23.5,0,0.6,0.6,65.2
98,2024-01-01,02:00,Monday,January,WPD East Midlands,9,139,moderate,10.0,5.8,0.8,18.3,3.3,0,0.0,0.2,61.7
99,2024-01-01,02:00,Monday,January,UKPN East,10,23,very low,0.0,0.0,12.1,3.7,19.6,0,0.0,0.1,64.5
100,2024-01-01,02:00,Monday,January,WPD South West,11,240,high,1.2,0.7,1.9,58.9,2.1,0,0.1,1.1,34.0
101,2024-01-01,02:00,Monday,January,SSE South,12,125,moderate,4.1,2.3,6.2,24.4,8.0,0,0.5,0.6,53.9
102,2024-01-01,02:00,Monday,January,UKPN London,13,49,low,0.0,0.0,14.4,10.5,14.4,0,0.4,0.1,60.2
103,2024-01-01,02:00,Monday,January,UKPN South East,14,98,low,0.0,0.0,18.8,23.3,4.0,0,1.3,0.2,52.5
104,2024-01-01,02:00,Monday,January,England,15,70,low,4.6,1.1,3.7,13.3,18.9,0,1.0,0.1,57.2
105,2024-01-01,02:00,Monday,January,Scotland,16,12,very low,1.3,0.0,0.0,2.6,28.6,0,17.5,1.1,48.8
106,2024-01-01,02:00,Monday,January,Wales,17,87,low,0.0,0.0,0.0,22.2,0.6,0,4.4,1.3,71.6
107,2024-01-01,02:00,Monday,January,GB,18,65,low,4.0,0.9,3.0,12.7,18.9,0,3.1,0.3,57.2
108,2024-01-01,02:30,Monday,January,Scottish Hydro Electric Power Distribution,1,1,very low,0.2,0.0,0.0,0.2,2.5,0,47.2,0.0,49.9
109,2024-01-01,02:30,Monday,January,SP Distribution,2,12,very low,2.2,0.0,0.0,2.4,41.0,0,0.0,0.0,54.4
110,2024-01-01,02:30,Monday,January,Electricity North West,3,5,very low,0.4,0.0,0.0,1.1,41.8,0,0.0,0.0,56.7
111,2024-01-01,02:30,Monday,January,NPG North East,4,10,very low,6.6,0.0,0.0,0.4,76.5,0,0.0,0.0,16.4
112,2024-01-01,02:30,Monday,January,NPG Yorkshire,5,88,low,23.1,0.0,0.0,15.3,4.2,0,0.0,0.0,57.3
113,2024-01-01,02:30,Monday,January,SP Manweb,6,25,very low,0.4,0.0,0.0,6.3,13.3,0,1.0,0.0,79.1
114,2024-01-01,02:30,Monday,January,WPD South Wales,7,114,moderate,0.0,0.0,0.0,28.9,0.2,0,0.0,0.0,70.9
115,2024-01-01,02:30,Monday,January,WPD West Midlands,8,49,low,2.4,1.1,0.1,9.2,22.3,0,0.4,0.0,64.6
116,2024-01-01,02:30,Monday,January,WPD East Midlands,9,169,moderate,9.1,5.3,0.4,27.3,2.3,0,0.0,0.0,55.5
117,2024-01-01,02:30,Monday,January,UKPN East,10,18,very low,0.0,0.1,10.4,2.7,20.0,0,0.0,0.0,66.8
118,2024-01-01,02:30,Monday,January,WPD South West,11,244,high,1.2,0.6,2.9,60.0,1.8,0,0.1,0.0,33.5
119,2024-01-01,02:30,Monday,January,SSE South,12,131,moderate,3.9,2.5,9.4,25.5,7.8,0,0.5,0.0,50.5
120,2024-01-01,02:30,Monday,January,UKPN London,13,31,very low,0.0,0.1,17.8,6.0,15.2,0,0.5,0.0,60.4
121,2024-01-01,02:30,Monday,January,UKPN South East,14,54,low,0.0,0.0,30.9,11.7,4.3,0,1.6,0.0,51.4
122,2024-01-01,02:30,Monday,January,England,15,69,low,4.6,1.1,4.4,13.1,18.7,0,1.1,0.0,57.0
123,2024-01-01,02:30,Monday,January,Scotland,16,11,very low,1.3,0.0,0.0,2.5,27.6,0,14.4,0.0,54.2
124,2024-01-01,02:30,Monday,January,Wales,17,98,low,0.0,0.0,0.0,24.8,1.1,0,4.3,0.0,69.9
125,2024-01-01,02:30,Monday,January,GB,18,64,low,4.0,0.9,3.7,12.7,18.6,0,2.7,0.0,57.4
126,2024-01-01,03:00,Monday,January,Scottish Hydro Electric Power Distribution,1,0,very low,0.1,0.0,0.0,0.1,0.4,0,45.1,0.0,54.3
127,2024-01-01,03:00,Monday,January,SP Distribution,2,15,very low,2.0,0.0,0.0,3.2,36.7,0,0.0,0.0,58.1
128,2024-01-01,03:00,Monday,January,Electricity North West,3,2,very low,0.3,0.0,0.0,0.5,40.7,0,0.0,0.0,58.4
129,2024-01-01,03:00,Monday,January,NPG North East,4,10,very low,6.2,0.0,0.0,0.6,74.1,0,0.0,0.1,19.0
130,2024-01-01,03:00,Monday,January,NPG Yorkshire,5,77,low,23.3,0.0,0.0,12.3,6.0,0,0.0,0.0,58.3
131,2024-01-01,03:00,Monday,January,SP Manweb,6,27,very low,0.3,0.0,0.0,6.7,14.3,0,1.5,0.6,76.6
132,2024-01-01,03:00,Monday,January,WPD South Wales,7,111,moderate,0.1,0.1,0.0,27.9,1.9,0,0.0,0.0,69.9
133,2024-01-01,03:00,Monday,January,WPD West Midlands,8,38,low,2.4,1.1,0.1,6.3,23.6,0,0.5,0.3,65.6
134,2024-01-01,03:00,Monday,January,WPD East Midlands,9,136,moderate,10.1,5.9,0.6,17.5,3.8,0,0.0,0.3,61.8
135,2024-01-01,03:00,Monday,January,UKPN East,10,19,very low,0.0,0.0,8.7,3.4,20.4,0,0.0,0.2,67.3
136,2024-01-01,03:00,Monday,January,WPD South West,11,267,high,0.9,0.5,1.9,66.0,2.2,0,0.1,1.0,27.3
137,2024-01-01,03:00,Monday,January,SSE South,12,122,moderate,4.1,2.4,8.6,23.5,9.0,0,0.5,0.7,51.3
138,2024-01-01,03:00,Monday,January,UKPN London,13,46,low,0.0,0.0,15.4,10.0,15.3,0,0.5,0.3,58.5
139,2024-01-01,03:00,Monday,January,UKPN South East,14,90,low,0.0,0.0,26.7,21.1,4.6,0,1.3,0.4,45.9
140,2024-01-01,03:00,Monday,January,England,15,70,low,4.7,1.1,3.8,13.4,19.0,0,1.0,0.0,57.0
141,2024-01-01,03:00,Monday,January,Scotland,16,10,very low,1.2,0.0,0.0,2.2,25.5,0,12.8,0.1,58.3
142,2024-01-01,03:00,Monday,January,Wales,17,81,low,0.1,0.0,0.0,20.6,2.5,0,4.1,0.1,72.8
143,2024-01-01,03:00,Monday,January,GB,18,64,low,4.0,0.9,3.2,12.5,18.7,0,2.5,0.0,58.1
144,2024-01-01,03:30,Monday,January,Scottish Hydro Electric Power Distribution,1,0,very low,0.0,0.0,0.0,0.0,0.0,0,39.8,0.0,60.2
145,2024-01-01,03:30,Monday,January,SP Distribution,2,13,very low,1.8,0.0,0.0,2.8,34.1,0,0.0,0.0,61.3
146,2024-01-01,03:30,Monday,January,Electricity North West,3,2,very low,0.4,0.0,0.0,0.5,39.9,0,0.0,0.0,59.3
147,2024-01-01,03:30,Monday,January,NPG North East,4,10,very low,5.7,0.0,0.0,0.7,70.6,0,0.0,0.0,22.9
148,2024-01-01,03:30,Monday,January,NPG Yorkshire,5,72,low,22.2,0.0,0.0,11.6,7.3,0,0.0,0.0,58.9
149,2024-01-01,03:30,Monday,January,SP Manweb,6,25,very low,0.3,0.0,0.0,6.3,14.3,0,2.1,0.0,76.9
150,2024-01-01,03:30,Monday,January,WPD South Wales,7,114,moderate,0.2,0.1,0.0,28.6,2.8,0,0.1,0.0,68.3
151,2024-01-01,03:30,Monday,January,WPD West Midlands,8,34,very low,2.2,1.0,0.0,5.5,24.1,0,0.8,0.0,66.3
152,2024-01-01,03:30,Monday,January,WPD East Midlands,9,129,moderate,10.6,5.7,0.3,15.9,4.0,0,0.0,0.0,63.5
153,2024-01-01,03:30,Monday,January,UKPN East,10,17,very low,0.0,0.0,5.3,3.5,21.4,0,0.0,0.0,69.8
154,2024-01-01,03:30,Monday,January,WPD South West,11,269,high,1.0,0.7,1.6,66.3,2.7,0,0.1,0.0,27.6
155,2024-01-01,03:30,Monday,January,SSE South,12,115,moderate,4.4,2.5,6.9,21.5,9.7,0,0.5,0.0,54.5
156,2024-01-01,03:30,Monday,January,UKPN London,13,42,low,0.0,0.0,12.2,9.4,16.1,0,0.4,0.0,61.8
157,2024-01-01,03:30,Monday,January,UKPN South East,14,86,low,0.0,0.0,24.5,20.0,5.2,0,1.2,0.0,49.0
158,2024-01-01,03:30,Monday,January,England,15,67,low,4.6,1.1,4.2,12.6,18.9,0,0.9,0.0,57.7
159,2024-01-01,03:30,Monday,January,Scotland,16,9,very low,1.1,0.0,0.0,2.0,24.1,0,10.7,0.0,62.1
160,2024-01-01,03:30,Monday,January,Wales,17,77,low,0.1,0.0,0.0,19.6,3.5,0,4.0,0.0,72.7
161,2024-01-01,03:30,Monday,January,GB,18,61,low,3.9,0.9,3.5,11.9,18.5,0,2.2,0.0,59.1
162,2024-01-01,04:00,Monday,January,Scottish Hydro Electric Power Distribution,1,0,very low,0.0,0.0,0.0,0.0,0.0,0,39.1,0.0,60.9
163,2024-01-01,04:00,Monday,January,SP Distribution,2,11,very low,1.7,0.0,0.0,2.4,32.7,0,0.1,0.0,63.1
164,2024-01-01,04:00,Monday,January,Electricity North West,3,2,very low,0.4,0.0,0.0,0.4,40.7,0,0.0,0.0,58.5
165,2024-01-01,04:00,Monday,January,NPG North East,4,9,very low,5.5,0.0,0.0,0.6,68.9,0,0.0,0.0,25.0
166,2024-01-01,04:00,Monday,January,NPG Yorkshire,5,68,low,22.3,0.0,0.0,10.4,8.1,0,0.0,0.0,59.2
167,2024-01-01,04:00,Monday,January,SP Manweb,6,23,very low,0.3,0.0,0.0,5.8,14.8,0,1.4,0.0,77.7
168,2024-01-01,04:00,Monday,January,WPD South Wales,7,103,low,0.2,0.1,0.0,25.6,3.1,0,0.1,0.5,70.3
169,2024-01-01,04:00,Monday,January,WPD West Midlands,8,31,very low,2.2,1.0,0.0,4.9,24.8,0,0.5,0.0,66.6
170,2024-01-01,04:00,Monday,January,WPD East Midlands,9,126,moderate,11.4,5.8,0.1,14.8,4.2,0,0.0,0.0,63.7
171,2024-01-01,04:00,Monday,January,UKPN East,10,17,very low,0.0,0.0,5.3,3.3,21.7,0,0.0,0.0,69.7
172,2024-01-01,04:00,Monday,January,WPD South West,11,255,high,1.4,0.8,1.6,62.3,3.0,0,0.1,0.1,30.7
173,2024-01-01,04:00,Monday,January,SSE South,12,110,moderate,4.9,2.6,5.4,19.8,10.2,0,0.4,0.2,56.6
174,2024-01-01,04:00,Monday,January,UKPN London,13,39,low,0.0,0.0,10.7,8.6,16.6,0,0.4,0.0,63.7
175,2024-01-01,04:00,Monday,January,UKPN South East,14,82,low,0.0,0.0,21.6,19.1,5.3,0,1.2,0.1,52.7
176,2024-01-01,04:00,Monday,January,England,15,63,low,4.6,1.1,4.0,11.6,19.0,0,0.9,0.5,58.1
177,2024-01-01,04:00,Monday,January,Scotland,16,8,very low,1.0,0.0,0.0,1.7,23.4,0,9.8,0.6,63.5
178,2024-01-01,04:00,Monday,January,Wales,17,63,low,0.2,0.0,0.0,15.9,4.2,0,3.6,0.3,75.9
179,2024-01-01,04:00,Monday,January,GB,18,57,low,4.0,0.9,3.3,10.8,18.6,0,2.1,0.5,59.8
180,2024-01-01,04:30,Monday,January,Scottish Hydro Electric Power Distribution,1,0,very low,0.0,0.0,0.0,0.0,0.0,0,39.6,0.0,60.4
181,2024-01-01,04:30,Monday,January,SP Distribution,2,10,very low,1.7,0.0,0.0,2.1,32.0,0,0.1,0.0,64.1
182,2024-01-01,04:30,Monday,January,Electricity North West,3,2,very low,0.4,0.0,0.0,0.4,40.7,0,0.0,0.0,58.5
183,2024-01-01,04:30,Monday,January,NPG North East,4,9,very low,5.5,0.0,0.0,0.6,66.6,0,0.0,0.0,27.2
184,2024-01-01,04:30,Monday,January,NPG Yorkshire,5,65,low,22.4,0.0,0.0,9.7,8.1,0,0.0,0.0,59.8
185,2024-01-01,04:30,Monday,January,SP Manweb,6,22,very low,0.4,0.0,0.0,5.5,15.0,0,1.1,0.0,78.1
186,2024-01-01,04:30,Monday,January,WPD South Wales,7,104,low,0.3,0.1,0.0,26.0,3.7,0,0.1,0.0,69.8
187,2024-01-01,04:30,Monday,January,WPD West Midlands,8,30,very low,2.2,1.0,0.0,4.8,24.7,0,0.4,0.0,66.9
188,2024-01-01,04:30,Monday,January,WPD East Midlands,9,129,moderate,11.6,5.9,0.0,15.1,4.4,0,0.0,0.0,62.9
189,2024-01-01,04:30,Monday,January,UKPN East,10,16,very low,0.0,0.0,3.1,3.3,22.0,0,0.0,0.0,71.6
190,2024-01-01,04:30,Monday,January,WPD South West,11,257,high,1.6,0.8,1.7,62.8,3.0,0,0.1,0.0,29.9
191,2024-01-01,04:30,Monday,January,SSE South,12,108,low,5.2,2.6,5.7,19.1,9.9,0,0.4,0.0,57.1
192,2024-01-01,04:30,Monday,January,UKPN London,13,37,low,0.0,0.0,10.4,8.3,16.3,0,0.4,0.0,64.5
193,2024-01-01,04:30,Monday,January,UKPN South East,14,77,low,0.0,0.0,24.4,17.8,5.0,0,1.2,0.0,51.6
194,2024-01-01,04:30,Monday,January,England,15,63,low,4.7,1.1,4.0,11.5,18.9,0,1.0,0.0,58.8
195,2024-01-01,04:30,Monday,January,Scotland,16,7,very low,1.0,0.0,0.0,1.5,24.2,0,9.9,0.0,63.4
